phi,pressure,Zd,Q6,muz,entropy
0.01,0.014337034818412923,116.0,0.0421807,0.10418837257762034,3.7949829334708958
0.02,0.03041637346311108,184.2,0.04068066,0.06588526739535774,3.9754858338859775
0.03,0.04839914360451018,240.8,0.040504899999999996,0.05014768493212511,4.080805018879412
0.04,0.06837394855921677,290.8,0.040862539999999996,0.04148958680520502,4.119272772591867
0.05,0.09056111074098755,337.8,0.04123175999999999,0.03580268424658025,4.173914684516765
0.06,0.11513729869154865,375.4,0.04049978,0.03176900964877771,4.188900954200773
0.07,0.1422099529447168,417.6,0.04040624,0.028787830808160775,4.1950957296892195
0.08,0.17205925729404936,455.8,0.040088200000000004,0.026485108306436238,4.204366523165332
0.09,0.2047827104986923,483.2,0.039703999999999996,0.024669216641360164,4.208613414782384
0.1,0.2406727384217883,519.0,0.039661419999999996,0.023218906691340625,4.211010512578767
0.11,0.28013895069195593,543.2,0.039636500000000005,0.022016886217832876,4.189675514656537
0.12,0.32330449009189444,570.4,0.03985055999999999,0.021010492640024435,4.192407008968508
0.13,0.3701307353688318,595.6,0.03935244,0.020210362930960728,4.18485472971058
0.14,0.4215539242446658,610.2,0.03899046,0.01952873262431015,4.179468692437261
0.15,0.47766997356364616,633.8,0.039139999999999994,0.018987930638355244,4.189478488155793
0.16,0.5386937647174701,650.0,0.03913576,0.018527433416264182,4.188424016722462
0.17,0.6048583205408645,661.6,0.03892484,0.01818946326834946,4.189496115650244
0.18,0.6772797475832292,673.8,0.03894488,0.01789631768350064,4.213254116212061
0.19,0.755762481633843,678.6,0.03832724,0.0176962439722169,4.203360945895179
0.2,0.8409501136348572,684.0,0.03848302,0.017550854331711732,4.226615984998467
0.21,0.9337566267298637,688.2,0.03841354,0.017477526813439056,4.237766097366441
0.22,1.034414227190516,685.6,0.03778418,0.017435494482247182,4.2409104499719374
0.23,1.143979056508627,684.2,0.0378327,0.017490870494388203,4.280065756107254
0.24,1.2627168182963366,682.2,0.03706122,0.017588319011067454,4.292739701088125
0.25,1.391493900617628,677.4,0.037234720000000006,0.017720238195441825,4.322540407409151
0.26,1.5310856485768276,669.8,0.0371892,0.017911688212437396,4.345817699829655
0.27,1.6825434758165312,658.2,0.03690214000000001,0.018139119793165667,4.360887379948068
0.28,1.8472483671037907,646.8,0.036326199999999996,0.018466402227786765,4.374031489345127
0.29,2.0250309172711245,632.8,0.036076540000000004,0.018844475600644107,4.3910863222327094
0.3,2.2190259271447688,622.6,0.03528998,0.019276352862634783,4.4075938810341
0.31,2.429079351938642,610.8,0.03554098,0.019769898155369652,4.416010923865657
0.32,2.6568814101854348,592.6,0.03471394,0.020305681732805655,4.415365783502365
0.33,2.9048940867560895,571.8,0.03485274000000001,0.020988671364630944,4.432490654824198
0.34,3.1735933700282075,552.4,0.03399678,0.021743944039785624,4.425559229528988
0.35,3.4660861952884643,529.8,0.032949519999999996,0.022569746158064966,4.435962156380885
0.36,3.782887909823452,511.6,0.03223296,0.023521875540268078,4.431333168935096
0.37,4.128800854881365,485.6,0.03251278,0.024622152550649822,4.416743974800032
0.38,4.504873525142477,460.2,0.030652020000000002,0.025913874374719807,4.420310885128117
0.39,4.912492625126587,437.2,0.02992574,0.02732251634911072,4.4111303777010535
0.4,5.358523424691431,411.6,0.027773780000000005,0.0289597093217443,4.40216041755113
0.41,5.843310002781665,385.2,0.027272260000000003,0.03089463128544837,4.395580568654163
0.42,6.373482665648059,361.2,0.025635360000000003,0.033116914298393335,4.3583743247334965
0.43,6.951209872002859,337.0,0.023079179999999998,0.03578348842493608,4.317373225523764
0.44,7.579491271154478,307.6,0.022159260000000004,0.03889121155846808,4.289571546076368
0.45,8.268718913742521,278.0,0.01907018,0.04256738061623378,4.250584841134608
0.46,9.025855704916598,254.2,0.01667604,0.04699203954850049,4.208060338602481
0.47,9.847239537781771,227.0,0.013076599999999999,0.052688843400854085,4.145899785974236
0.48,10.756590465872831,198.6,0.008217404000000001,0.05956422810716796,4.074172516189249
0.49,11.756833232524164,177.0,0.006485396,0.06798951601663024,4.000253110795894
0.5,12.844447559226444,150.2,0.004679414,0.0792378376522357,3.9066175896420794
0.51,14.064408172684182,126.2,0.004427878,0.09398422631401696,3.788152881663824
0.52,15.404034683639642,103.2,0.006583162000000001,0.11479672370150555,3.6666609457288772
0.53,16.8975765331651,81.4,0.007725844,0.1433537954948203,3.497707631586519
0.531,17.04929447942299,79.0,0.007453582,0.14755929547322513,3.4900146320195353
0.532,17.212394870023314,77.8,0.006623693999999999,0.15119336926359758,3.461449281867087
0.533,17.373407836339418,75.0,0.006845088000000001,0.15474199094140387,3.4405507670071636
0.534,17.5450151128647,74.8,0.00716715,0.1576990240533065,3.436178217000388
0.535,17.710449970392595,73.8,0.008126143999999998,0.16212408491086827,3.432237852840488
0.536,17.86854352579071,69.6,0.007953314,0.1669547099175828,3.396131367551521
0.537,17.99941407913962,67.6,0.013881606000000001,0.17317826566585023,3.4157318229419844
0.538,18.207534442385946,66.6,0.00929699,0.1765192867914737,3.3771078371861463
0.539,18.380425889120385,64.8,0.008943198,0.18119722442091632,3.3527394383321374
0.54,18.314306584460958,62.2,0.028043906,0.19068370277241392,3.4043016783355418
0.541,18.68401581182804,61.6,0.014552900000000002,0.19529120359596203,3.3050539361632167
0.542,18.43815084029197,55.6,0.046049426000000004,0.20981882144767994,3.4563922040874386
0.543,18.62546544828597,55.2,0.03649325999999999,0.2145611188074979,3.472409251988298
0.544,18.0475020252952,49.4,0.08353992,0.2352094422478496,3.4284826298729536
0.545,19.385885649380214,52.0,0.018535890000000003,0.21912573215385256,3.273433448688042
0.546,18.062159410184975,45.0,0.08563516,0.2644048884938484,3.4051705754353265
0.547,17.602810358424374,41.2,0.14203179999999999,0.28725988066267033,3.533112949190639
0.548,17.758123975237805,38.0,0.09870376,0.3039311980815863,3.5438094417100503
0.549,17.49993438601323,34.6,0.15089544,0.3163749338249097,3.523149987311212
0.55,17.839409379194294,36.4,0.14119668000000002,0.3255305469727016,3.4669137942137076
0.56,19.065191992733222,26.4,0.22132619999999997,0.4292840400779579,3.124201859861699
0.57,22.33587556811897,23.0,0.22729720000000003,0.5085624972452866,2.8956255037245873
0.58,27.16132319526165,19.4,0.17070016,0.5884325921044115,2.587946660151991
0.59,33.580049729157075,17.2,0.14711055999999997,0.6709990840862502,2.317962413547041
0.6,41.504327964080424,15.0,0.08353479999999999,0.7672526345537339,2.0415409540544642
0.61,54.07426035212993,14.0,0.07778088000000001,0.8359421695207125,1.8057760306613129
0.62,76.17746067635633,12.8,0.06939827999999999,0.9264320323139492,1.610757765402333
0.63,132.4435635513224,11.6,0.06417626000000001,1.0316191262186003,1.4273921710342796
0.64,398.7553085390563,9.8,0.06474658,1.2517574152544586,1.400444389563682
